"","week","Age","cases"
"1",0,1,5
"2",0,2,4
"3",0,3,4
"4",0,4,3
"5",0,5,1
"6",0,6,3
"7",0,7,1
"8",0,8,1
"9",0,9,0
"10",0,10,1
"11",0,12,0
"12",0,13,3
"13",0,19,0
"14",0,21,0
"15",0,22,1
"16",0,24,1
"17",0,25,1
"18",0,26,0
"19",0,27,0
"20",0,28,0
"21",0,29,0
"22",0,30,0
"23",0,31,2
"24",0,32,0
"25",0,33,0
"26",0,35,2
"27",0,36,1
"28",0,39,1
"29",0,40,1
"30",0,43,0
"31",0,44,0
"32",0,45,2
"33",0,46,2
"34",0,48,1
"35",0,49,1
"36",0,51,0
"37",0,52,1
"38",0,53,1
"39",0,54,1
"40",0,55,1
"41",0,56,1
"42",0,61,0
"43",0,62,0
"44",0,64,1
"45",0,65,1
"46",0,66,1
"47",0,67,1
"48",0,70,1
"49",0,71,0
"50",0,73,0
"51",0,75,0
"52",0,81,1
"53",0,96,1
"54",1,1,3
"55",1,2,5
"56",1,3,4
"57",1,4,3
"58",1,5,2
"59",1,6,4
"60",1,7,2
"61",1,8,1
"62",1,9,3
"63",1,10,2
"64",1,12,0
"65",1,13,0
"66",1,14,2
"67",1,16,1
"68",1,19,0
"69",1,20,1
"70",1,21,0
"71",1,22,2
"72",1,23,0
"73",1,24,0
"74",1,25,0
"75",1,26,1
"76",1,27,2
"77",1,28,6
"78",1,29,4
"79",1,30,0
"80",1,31,2
"81",1,32,1
"82",1,33,0
"83",1,34,1
"84",1,35,0
"85",1,36,1
"86",1,37,2
"87",1,38,1
"88",1,39,2
"89",1,40,1
"90",1,41,0
"91",1,42,0
"92",1,43,2
"93",1,44,0
"94",1,45,2
"95",1,46,1
"96",1,48,1
"97",1,49,0
"98",1,50,3
"99",1,51,0
"100",1,52,3
"101",1,53,1
"102",1,54,2
"103",1,55,1
"104",1,56,1
"105",1,59,0
"106",1,60,4
"107",1,61,1
"108",1,62,2
"109",1,64,1
"110",1,65,1
"111",1,67,0
"112",1,68,2
"113",1,70,1
"114",1,71,0
"115",1,73,1
"116",1,74,2
"117",1,75,0
"118",1,76,1
"119",1,77,1
"120",1,81,0
"121",1,82,0
"122",1,86,0
"123",1,89,0
"124",2,1,8
"125",2,2,4
"126",2,3,2
"127",2,4,3
"128",2,5,10
"129",2,6,2
"130",2,7,4
"131",2,8,6
"132",2,9,4
"133",2,10,2
"134",2,11,4
"135",2,12,4
"136",2,13,3
"137",2,14,3
"138",2,15,0
"139",2,17,1
"140",2,18,0
"141",2,20,0
"142",2,22,1
"143",2,23,2
"144",2,24,2
"145",2,25,3
"146",2,26,0
"147",2,27,4
"148",2,28,1
"149",2,29,2
"150",2,30,2
"151",2,31,3
"152",2,32,0
"153",2,33,4
"154",2,34,3
"155",2,35,4
"156",2,36,1
"157",2,37,1
"158",2,38,3
"159",2,39,1
"160",2,40,2
"161",2,41,3
"162",2,42,2
"163",2,43,2
"164",2,44,0
"165",2,45,3
"166",2,46,0
"167",2,47,1
"168",2,48,1
"169",2,49,1
"170",2,50,4
"171",2,51,0
"172",2,52,2
"173",2,53,2
"174",2,54,2
"175",2,55,1
"176",2,56,2
"177",2,57,1
"178",2,58,3
"179",2,59,2
"180",2,63,1
"181",2,65,1
"182",2,66,0
"183",2,67,0
"184",2,68,1
"185",2,70,0
"186",2,71,0
"187",2,73,1
"188",2,74,1
"189",2,75,0
"190",2,77,1
"191",2,79,1
"192",2,80,1
"193",2,84,0
"194",2,85,0
"195",2,86,0
"196",2,88,1
"197",2,89,1
"198",2,90,1
"199",2,91,1
"200",2,95,0
"201",3,1,6
"202",3,2,4
"203",3,3,5
"204",3,4,5
"205",3,5,4
"206",3,6,4
"207",3,7,2
"208",3,8,5
"209",3,9,6
"210",3,10,3
"211",3,11,1
"212",3,12,2
"213",3,13,1
"214",3,14,2
"215",3,15,3
"216",3,16,0
"217",3,18,1
"218",3,20,1
"219",3,21,1
"220",3,22,1
"221",3,23,1
"222",3,24,0
"223",3,25,2
"224",3,26,3
"225",3,27,2
"226",3,28,4
"227",3,29,3
"228",3,30,1
"229",3,31,2
"230",3,32,1
"231",3,33,1
"232",3,34,3
"233",3,35,2
"234",3,36,0
"235",3,38,1
"236",3,39,0
"237",3,40,2
"238",3,41,1
"239",3,42,2
"240",3,43,2
"241",3,45,0
"242",3,46,2
"243",3,47,3
"244",3,48,3
"245",3,50,2
"246",3,51,2
"247",3,52,2
"248",3,53,2
"249",3,54,4
"250",3,55,2
"251",3,56,1
"252",3,57,1
"253",3,58,3
"254",3,59,1
"255",3,60,0
"256",3,61,0
"257",3,62,3
"258",3,63,2
"259",3,64,1
"260",3,65,0
"261",3,67,0
"262",3,68,1
"263",3,69,0
"264",3,70,2
"265",3,72,0
"266",3,74,0
"267",3,75,2
"268",3,77,1
"269",3,78,1
"270",3,79,1
"271",3,80,1
"272",3,81,0
"273",3,82,1
"274",3,87,2
"275",3,88,1
"276",3,93,0
"277",4,0,1
"278",4,1,7
"279",4,2,2
"280",4,3,3
"281",4,4,0
"282",4,5,0
"283",4,6,1
"284",4,7,1
"285",4,8,4
"286",4,9,3
"287",4,10,1
"288",4,11,1
"289",4,12,1
"290",4,13,2
"291",4,15,2
"292",4,16,1
"293",4,18,0
"294",4,21,1
"295",4,22,0
"296",4,23,4
"297",4,24,3
"298",4,25,1
"299",4,26,1
"300",4,27,4
"301",4,28,1
"302",4,29,0
"303",4,30,3
"304",4,31,1
"305",4,32,2
"306",4,34,0
"307",4,35,1
"308",4,36,1
"309",4,37,0
"310",4,38,0
"311",4,39,0
"312",4,40,2
"313",4,41,1
"314",4,42,2
"315",4,43,0
"316",4,44,1
"317",4,45,2
"318",4,46,1
"319",4,47,1
"320",4,48,3
"321",4,49,1
"322",4,50,1
"323",4,51,0
"324",4,52,1
"325",4,53,1
"326",4,55,1
"327",4,56,3
"328",4,60,0
"329",4,62,0
"330",4,63,1
"331",4,66,2
"332",4,67,2
"333",4,68,0
"334",4,70,0
"335",4,71,0
"336",4,74,0
"337",4,77,1
"338",4,78,2
"339",4,79,1
"340",4,82,1
"341",4,84,1
"342",4,86,1
"343",5,1,5
"344",5,2,6
"345",5,3,5
"346",5,4,2
"347",5,5,4
"348",5,6,0
"349",5,7,4
"350",5,8,2
"351",5,9,2
"352",5,10,1
"353",5,11,3
"354",5,12,1
"355",5,13,0
"356",5,14,3
"357",5,15,1
"358",5,17,0
"359",5,18,1
"360",5,19,3
"361",5,20,0
"362",5,21,1
"363",5,22,0
"364",5,23,2
"365",5,24,1
"366",5,25,3
"367",5,26,2
"368",5,27,3
"369",5,28,4
"370",5,29,1
"371",5,30,1
"372",5,31,0
"373",5,32,3
"374",5,33,2
"375",5,34,2
"376",5,35,0
"377",5,36,0
"378",5,37,1
"379",5,38,3
"380",5,39,3
"381",5,40,4
"382",5,41,0
"383",5,42,2
"384",5,43,1
"385",5,44,1
"386",5,45,2
"387",5,46,2
"388",5,47,0
"389",5,48,0
"390",5,49,1
"391",5,50,1
"392",5,51,1
"393",5,52,2
"394",5,53,0
"395",5,54,1
"396",5,55,2
"397",5,56,2
"398",5,57,0
"399",5,59,0
"400",5,60,1
"401",5,61,1
"402",5,62,1
"403",5,63,0
"404",5,64,0
"405",5,65,2
"406",5,66,1
"407",5,67,1
"408",5,68,0
"409",5,69,0
"410",5,70,2
"411",5,71,2
"412",5,72,1
"413",5,74,0
"414",5,76,1
"415",5,77,1
"416",5,78,2
"417",5,80,0
"418",5,84,1
"419",5,87,1
"420",5,88,0
"421",5,93,2
"422",5,94,1
"423",5,99,1
"424",6,0,0
"425",6,1,2
"426",6,2,3
"427",6,3,2
"428",6,4,1
"429",6,5,3
"430",6,6,0
"431",6,7,1
"432",6,8,1
"433",6,9,1
"434",6,10,0
"435",6,11,2
"436",6,13,1
"437",6,14,1
"438",6,15,0
"439",6,16,0
"440",6,17,0
"441",6,18,0
"442",6,19,0
"443",6,20,0
"444",6,21,0
"445",6,22,1
"446",6,23,1
"447",6,25,4
"448",6,26,1
"449",6,27,2
"450",6,28,2
"451",6,29,2
"452",6,30,0
"453",6,31,1
"454",6,32,4
"455",6,33,2
"456",6,34,3
"457",6,35,2
"458",6,36,2
"459",6,37,2
"460",6,38,5
"461",6,39,0
"462",6,40,1
"463",6,41,1
"464",6,42,2
"465",6,45,1
"466",6,46,2
"467",6,47,0
"468",6,48,1
"469",6,49,0
"470",6,50,1
