"","week","Age","cases"
"1",0,75,0
"2",1,45,0
"3",1,48,1
"4",1,54,0
"5",1,74,1
"6",1,75,0
"7",2,52,1
"8",3,63,1
"9",4,27,1
"10",4,32,0
"11",4,56,1
"12",4,71,0
"13",5,15,1
"14",5,45,1
"15",5,55,1
"16",5,68,0
"17",5,71,1
"18",6,42,0
"19",6,48,0
"20",6,66,0
"21",7,52,1
"22",7,66,0
"23",8,52,1
"24",8,63,1
"25",8,65,1
"26",8,69,0
"27",8,86,1
"28",8,90,0
"29",9,37,0
"30",9,47,1
"31",9,55,2
"32",9,57,0
"33",9,60,1
"34",9,68,0
"35",9,72,0
"36",9,73,0
"37",9,79,1
"38",10,10,0
"39",10,16,0
"40",10,37,1
"41",10,39,1
"42",10,42,3
"43",10,44,1
"44",10,46,1
"45",10,47,1
"46",10,51,1
"47",10,54,0
"48",10,56,1
"49",10,57,1
"50",10,59,1
"51",10,62,1
"52",10,66,1
"53",10,71,2
"54",10,74,1
"55",10,76,0
"56",10,79,0
"57",10,82,1
"58",10,88,0
"59",10,91,0
"60",11,1,0
"61",11,13,1
"62",11,15,0
"63",11,18,0
"64",11,19,0
"65",11,23,1
"66",11,25,1
"67",11,29,0
"68",11,31,1
"69",11,32,1
"70",11,33,1
"71",11,34,1
"72",11,36,1
"73",11,38,1
"74",11,39,0
"75",11,40,1
"76",11,41,2
"77",11,43,1
"78",11,44,1
"79",11,46,3
"80",11,47,2
"81",11,49,1
"82",11,50,1
"83",11,51,2
"84",11,52,1
"85",11,53,1
"86",11,54,3
"87",11,55,3
"88",11,56,5
"89",11,57,3
"90",11,58,1
"91",11,59,4
"92",11,60,2
"93",11,61,1
"94",11,62,1
"95",11,63,6
"96",11,64,4
"97",11,65,3
"98",11,67,3
"99",11,68,3
"100",11,69,4
"101",11,70,4
"102",11,71,2
"103",11,72,3
"104",11,73,2
"105",11,74,1
"106",11,75,2
"107",11,76,4
"108",11,77,2
"109",11,78,4
"110",11,79,1
"111",11,80,0
"112",11,81,1
"113",11,83,2
"114",11,85,2
"115",11,86,1
"116",11,89,1
"117",12,0,0
"118",12,1,4
"119",12,2,1
"120",12,3,1
"121",12,7,1
"122",12,13,1
"123",12,14,1
"124",12,15,0
"125",12,19,1
"126",12,20,2
"127",12,21,1
"128",12,22,0
"129",12,23,1
"130",12,25,2
"131",12,26,3
"132",12,27,0
"133",12,28,4
"134",12,29,2
"135",12,30,1
"136",12,31,4
"137",12,33,3
"138",12,34,6
"139",12,35,4
"140",12,36,2
"141",12,37,2
"142",12,38,5
"143",12,39,2
"144",12,40,4
"145",12,41,6
"146",12,42,6
"147",12,43,7
"148",12,44,2
"149",12,45,6
"150",12,46,4
"151",12,47,8
"152",12,48,3
"153",12,49,10
"154",12,50,9
"155",12,51,6
"156",12,52,5
"157",12,53,10
"158",12,54,10
"159",12,55,10
"160",12,56,5
"161",12,57,8
"162",12,58,3
"163",12,59,9
"164",12,60,5
"165",12,61,3
"166",12,62,6
"167",12,63,4
"168",12,64,7
"169",12,65,8
"170",12,66,8
"171",12,67,5
"172",12,68,10
"173",12,69,8
"174",12,70,5
"175",12,71,11
"176",12,72,11
"177",12,73,8
"178",12,74,3
"179",12,75,6
"180",12,76,5
"181",12,77,6
"182",12,78,2
"183",12,79,1
"184",12,80,6
"185",12,81,4
"186",12,82,3
"187",12,83,2
"188",12,84,4
"189",12,85,2
"190",12,86,3
"191",12,87,1
"192",12,88,2
"193",12,89,0
"194",12,90,0
"195",12,91,1
"196",12,92,1
"197",12,94,1
"198",13,0,1
"199",13,1,2
"200",13,2,0
"201",13,5,0
"202",13,6,0
"203",13,8,0
"204",13,12,0
"205",13,13,1
"206",13,16,0
"207",13,19,1
"208",13,22,1
"209",13,23,1
"210",13,24,0
"211",13,25,2
"212",13,26,1
"213",13,27,1
"214",13,28,3
"215",13,29,1
"216",13,30,2
"217",13,31,2
"218",13,32,3
"219",13,33,3
"220",13,34,5
"221",13,35,4
"222",13,36,4
"223",13,37,4
"224",13,38,10
"225",13,39,3
"226",13,40,7
"227",13,41,5
"228",13,42,9
"229",13,43,5
"230",13,44,7
"231",13,45,11
"232",13,46,15
"233",13,47,14
"234",13,48,12
"235",13,49,16
"236",13,50,11
"237",13,51,10
"238",13,52,17
"239",13,53,14
"240",13,54,10
"241",13,55,8
"242",13,56,17
"243",13,57,17
"244",13,58,13
"245",13,59,10
"246",13,60,16
"247",13,61,13
"248",13,62,20
"249",13,63,8
"250",13,64,14
"251",13,65,13
"252",13,66,9
"253",13,67,13
"254",13,68,14
"255",13,69,15
"256",13,70,15
"257",13,71,7
"258",13,72,8
"259",13,73,11
"260",13,74,8
"261",13,75,6
"262",13,76,8
"263",13,77,7
"264",13,78,10
"265",13,79,5
"266",13,80,2
"267",13,81,10
"268",13,82,7
"269",13,83,3
"270",13,84,3
"271",13,85,4
"272",13,86,5
"273",13,87,1
"274",13,88,3
"275",13,89,3
"276",13,90,4
"277",13,91,1
"278",13,92,1
"279",13,93,2
"280",13,96,0
"281",14,0,4
"282",14,1,5
"283",14,2,1
"284",14,5,1
"285",14,7,1
"286",14,9,1
"287",14,10,2
"288",14,12,2
"289",14,15,1
"290",14,18,2
"291",14,19,1
"292",14,20,1
"293",14,21,2
"294",14,22,2
"295",14,23,1
"296",14,24,1
"297",14,25,3
"298",14,26,1
"299",14,27,1
"300",14,28,3
"301",14,29,2
"302",14,30,3
"303",14,31,3
"304",14,32,3
"305",14,33,9
"306",14,34,4
"307",14,35,6
"308",14,36,6
"309",14,37,5
"310",14,38,5
"311",14,39,6
"312",14,40,12
"313",14,41,9
"314",14,42,11
"315",14,43,16
"316",14,44,14
"317",14,45,15
"318",14,46,17
"319",14,47,23
"320",14,48,13
"321",14,49,22
"322",14,50,15
"323",14,51,14
"324",14,52,21
"325",14,53,22
"326",14,54,13
"327",14,55,18
"328",14,56,22
"329",14,57,21
"330",14,58,22
"331",14,59,18
"332",14,60,20
"333",14,61,25
"334",14,62,13
"335",14,63,19
"336",14,64,16
"337",14,65,24
"338",14,66,20
"339",14,67,17
"340",14,68,16
"341",14,69,18
"342",14,70,15
"343",14,71,17
"344",14,72,18
"345",14,73,23
"346",14,74,14
"347",14,75,10
"348",14,76,14
"349",14,77,10
"350",14,78,10
"351",14,79,1
"352",14,80,11
"353",14,81,5
"354",14,82,6
"355",14,83,6
"356",14,84,6
"357",14,85,6
"358",14,86,4
"359",14,87,6
"360",14,88,2
"361",14,89,3
"362",14,90,5
"363",14,91,2
"364",14,92,1
"365",14,93,3
"366",14,94,1
"367",14,96,1
"368",14,97,1
"369",14,99,1
"370",15,0,3
"371",15,1,6
"372",15,2,1
"373",15,3,0
"374",15,4,0
"375",15,6,1
"376",15,8,0
"377",15,9,0
"378",15,12,2
"379",15,14,1
"380",15,15,2
"381",15,16,1
"382",15,18,3
"383",15,20,1
"384",15,21,0
"385",15,22,0
"386",15,23,3
"387",15,24,2
"388",15,25,3
"389",15,26,1
"390",15,27,0
"391",15,28,3
"392",15,29,5
"393",15,30,4
"394",15,31,10
"395",15,32,10
"396",15,33,8
"397",15,34,8
"398",15,35,17
"399",15,36,10
"400",15,37,11
"401",15,38,17
"402",15,39,17
"403",15,40,16
"404",15,41,11
"405",15,42,13
"406",15,43,17
"407",15,44,28
"408",15,45,23
"409",15,46,39
"410",15,47,31
"411",15,48,30
"412",15,49,29
"413",15,50,25
"414",15,51,40
"415",15,52,38
"416",15,53,34
"417",15,54,32
"418",15,55,36
"419",15,56,40
"420",15,57,20
"421",15,58,36
"422",15,59,34
"423",15,60,46
"424",15,61,29
"425",15,62,35
"426",15,63,32
"427",15,64,37
"428",15,65,42
"429",15,66,33
"430",15,67,30
"431",15,68,34
"432",15,69,25
"433",15,70,21
"434",15,71,19
"435",15,72,30
"436",15,73,22
"437",15,74,22
"438",15,75,20
"439",15,76,16
"440",15,77,20
"441",15,78,15
"442",15,79,11
"443",15,80,9
"444",15,81,11
"445",15,82,9
"446",15,83,8
"447",15,84,9
"448",15,85,5
"449",15,86,9
"450",15,87,10
"451",15,88,5
"452",15,89,4
"453",15,90,5
"454",15,91,3
"455",15,92,4
"456",15,93,1
"457",15,94,0
"458",15,95,1
"459",15,96,0
"460",15,97,1
"461",15,98,0
"462",15,99,0
"463",15,100,1
"464",16,0,6
"465",16,1,5
"466",16,2,0
"467",16,3,2
"468",16,4,1
"469",16,7,1
"470",16,8,2
"471",16,9,0
"472",16,10,1
"473",16,14,1
"474",16,16,1
"475",16,17,1
"476",16,18,1
"477",16,19,1
"478",16,20,2
"479",16,21,0
"480",16,22,2
"481",16,23,0
"482",16,24,3
"483",16,25,7
"484",16,26,4
"485",16,27,3
"486",16,28,8
"487",16,29,4
"488",16,30,8
"489",16,31,8
"490",16,32,6
"491",16,33,9
"492",16,34,5
"493",16,35,14
"494",16,36,9
"495",16,37,14
"496",16,38,23
"497",16,39,10
"498",16,40,17
"499",16,41,24
"500",16,42,29
"501",16,43,25
"502",16,44,38
"503",16,45,31
"504",16,46,29
"505",16,47,29
"506",16,48,36
"507",16,49,34
"508",16,50,38
"509",16,51,47
"510",16,52,41
"511",16,53,51
"512",16,54,61
"513",16,55,59
"514",16,56,63
"515",16,57,49
"516",16,58,49
"517",16,59,45
"518",16,60,44
"519",16,61,60
"520",16,62,37
"521",16,63,41
"522",16,64,30
"523",16,65,54
"524",16,66,52
"525",16,67,44
"526",16,68,42
