,week,Age,cases
1,0,75,1
2,1,45,1
3,1,48,0
4,1,54,1
5,1,74,0
6,1,75,1
7,2,52,0
8,3,63,0
9,4,27,0
10,4,32,1
11,4,56,0
12,4,71,1
13,5,15,0
14,5,45,0
15,5,55,0
16,5,68,1
17,5,71,0
18,6,42,1
19,6,48,1
20,6,66,1
21,7,52,0
22,7,66,1
23,8,52,0
24,8,63,0
25,8,65,0
26,8,69,1
27,8,86,0
28,8,90,1
29,9,37,1
30,9,47,0
31,9,55,0
32,9,57,1
33,9,60,0
34,9,68,1
35,9,72,1
36,9,73,1
37,9,79,0
38,10,10,1
39,10,16,1
40,10,37,0
41,10,39,0
42,10,42,0
43,10,44,0
44,10,46,0
45,10,47,0
46,10,51,1
47,10,54,1
48,10,56,0
49,10,57,0
50,10,59,0
51,10,62,0
52,10,66,1
53,10,71,0
54,10,74,0
55,10,76,2
56,10,79,1
57,10,82,0
58,10,88,1
59,10,91,1
60,11,1,2
61,11,13,0
62,11,15,1
63,11,18,1
64,11,19,2
65,11,23,0
66,11,25,0
67,11,29,2
68,11,31,0
69,11,32,0
70,11,33,1
71,11,34,0
72,11,36,0
73,11,38,0
74,11,39,2
75,11,40,0
76,11,41,0
77,11,43,1
78,11,44,0
79,11,46,2
80,11,47,0
81,11,49,1
82,11,50,1
83,11,51,1
84,11,52,0
85,11,53,1
86,11,54,0
87,11,55,0
88,11,56,2
89,11,57,2
90,11,58,0
91,11,59,0
92,11,60,0
93,11,61,2
94,11,62,1
95,11,63,1
96,11,64,0
97,11,65,3
98,11,67,1
99,11,68,0
100,11,69,1
101,11,70,2
102,11,71,0
103,11,72,3
104,11,73,1
105,11,74,1
106,11,75,1
107,11,76,0
108,11,77,0
109,11,78,1
110,11,79,2
111,11,80,2
112,11,81,0
113,11,83,0
114,11,85,1
115,11,86,0
116,11,89,0
117,12,0,2
118,12,1,3
119,12,2,1
120,12,3,0
121,12,7,0
122,12,13,0
123,12,14,0
124,12,15,1
125,12,19,0
126,12,20,0
127,12,21,0
128,12,22,1
129,12,23,0
130,12,25,0
131,12,26,1
132,12,27,1
133,12,28,1
134,12,29,1
135,12,30,0
136,12,31,0
137,12,33,0
138,12,34,0
139,12,35,1
140,12,36,1
141,12,37,1
142,12,38,0
143,12,39,0
144,12,40,2
145,12,41,1
146,12,42,0
147,12,43,0
148,12,44,1
149,12,45,3
150,12,46,4
151,12,47,1
152,12,48,3
153,12,49,1
154,12,50,5
155,12,51,0
156,12,52,1
157,12,53,6
158,12,54,2
159,12,55,6
160,12,56,4
161,12,57,5
162,12,58,2
163,12,59,4
164,12,60,2
165,12,61,3
166,12,62,5
167,12,63,2
168,12,64,1
169,12,65,5
170,12,66,5
171,12,67,9
172,12,68,1
173,12,69,3
174,12,70,1
175,12,71,0
176,12,72,2
177,12,73,5
178,12,74,4
179,12,75,2
180,12,76,4
181,12,77,2
182,12,78,3
183,12,79,3
184,12,80,4
185,12,81,1
186,12,82,4
187,12,83,2
188,12,84,4
189,12,85,2
190,12,86,1
191,12,87,4
192,12,88,1
193,12,89,1
194,12,90,2
195,12,91,2
196,12,92,2
197,12,94,0
198,13,0,2
199,13,1,1
200,13,2,1
201,13,5,1
202,13,6,1
203,13,8,2
204,13,12,1
205,13,13,0
206,13,16,1
207,13,19,0
208,13,22,1
209,13,23,2
210,13,24,2
211,13,25,2
212,13,26,2
213,13,27,1
214,13,28,3
215,13,29,0
216,13,30,0
217,13,31,0
218,13,32,0
219,13,33,3
220,13,34,1
221,13,35,1
222,13,36,4
223,13,37,1
224,13,38,2
225,13,39,3
226,13,40,2
227,13,41,1
228,13,42,4
229,13,43,5
230,13,44,4
231,13,45,8
232,13,46,2
233,13,47,6
234,13,48,4
235,13,49,2
236,13,50,2
237,13,51,7
238,13,52,3
239,13,53,2
240,13,54,5
241,13,55,7
242,13,56,2
243,13,57,9
244,13,58,7
245,13,59,8
246,13,60,8
247,13,61,10
248,13,62,15
249,13,63,3
250,13,64,6
251,13,65,6
252,13,66,11
253,13,67,6
254,13,68,16
255,13,69,12
256,13,70,4
257,13,71,6
258,13,72,4
259,13,73,2
260,13,74,6
261,13,75,7
262,13,76,4
263,13,77,7
264,13,78,6
265,13,79,3
266,13,80,5
267,13,81,7
268,13,82,4
269,13,83,5
270,13,84,6
271,13,85,2
272,13,86,3
273,13,87,3
274,13,88,4
275,13,89,1
276,13,90,2
277,13,91,1
278,13,92,2
279,13,93,1
280,13,96,1
281,14,0,1
282,14,1,3
283,14,2,2
284,14,5,0
285,14,7,1
286,14,9,0
287,14,10,0
288,14,12,1
289,14,15,2
290,14,18,2
291,14,19,1
292,14,20,0
293,14,21,1
294,14,22,2
295,14,23,2
296,14,24,0
297,14,25,1
298,14,26,2
299,14,27,1
300,14,28,2
301,14,29,4
302,14,30,2
303,14,31,4
304,14,32,2
305,14,33,1
306,14,34,2
307,14,35,3
308,14,36,2
309,14,37,3
310,14,38,4
311,14,39,3
312,14,40,3
313,14,41,7
314,14,42,5
