"","week","Age","cases"
"1",0,7,0
"2",0,15,0
"3",0,21,0
"4",0,24,0
"5",0,25,0
"6",0,27,0
"7",0,28,0
"8",0,29,0
"9",0,37,1
"10",0,39,1
"11",0,40,0
"12",0,46,0
"13",0,47,0
"14",0,51,0
"15",0,58,0
"16",0,60,0
"17",0,63,0
"18",0,66,0
"19",0,69,0
"20",0,74,0
"21",0,75,0
"22",0,78,0
"23",1,0,0
"24",1,5,0
"25",1,7,0
"26",1,8,0
"27",1,11,0
"28",1,12,0
"29",1,13,0
"30",1,14,0
"31",1,15,0
"32",1,17,0
"33",1,19,0
"34",1,20,0
"35",1,21,0
"36",1,22,0
"37",1,23,0
"38",1,24,0
"39",1,25,0
"40",1,26,0
"41",1,27,0
"42",1,28,0
"43",1,29,0
"44",1,30,1
"45",1,31,2
"46",1,32,4
"47",1,33,2
"48",1,34,1
"49",1,35,2
"50",1,36,0
"51",1,37,1
"52",1,38,1
"53",1,39,1
"54",1,40,0
"55",1,41,0
"56",1,42,0
"57",1,43,0
"58",1,44,0
"59",1,45,0
"60",1,46,0
"61",1,47,0
"62",1,48,0
"63",1,49,0
"64",1,50,0
"65",1,51,0
"66",1,52,0
"67",1,53,0
"68",1,54,0
"69",1,55,0
"70",1,56,0
"71",1,57,0
"72",1,58,0
"73",1,59,0
"74",1,60,0
"75",1,61,0
"76",1,62,0
"77",1,63,0
"78",1,64,0
"79",1,65,0
"80",1,66,0
"81",1,67,0
"82",1,68,0
"83",1,69,0
"84",1,70,0
"85",1,71,0
"86",1,72,0
"87",1,73,0
"88",1,74,0
"89",1,75,0
"90",1,76,0
"91",1,82,0
"92",1,88,0
"93",1,96,0
"94",2,0,0
"95",2,2,0
"96",2,8,0
"97",2,10,0
"98",2,11,0
"99",2,15,0
"100",2,17,0
"101",2,18,0
"102",2,19,0
"103",2,21,0
"104",2,22,0
"105",2,23,0
"106",2,24,0
"107",2,25,0
"108",2,26,0
"109",2,27,0
"110",2,28,0
"111",2,29,0
"112",2,30,2
"113",2,31,2
"114",2,32,7
"115",2,33,5
"116",2,34,5
"117",2,35,2
"118",2,36,4
"119",2,37,5
"120",2,38,4
"121",2,39,4
"122",2,40,0
"123",2,41,0
"124",2,42,0
"125",2,43,0
"126",2,44,0
"127",2,45,0
"128",2,46,0
"129",2,47,0
"130",2,48,0
"131",2,49,0
"132",2,50,0
"133",2,51,0
"134",2,52,0
"135",2,53,0
"136",2,54,0
"137",2,55,0
"138",2,56,0
"139",2,57,0
"140",2,58,0
"141",2,59,0
"142",2,60,0
"143",2,61,0
"144",2,62,0
"145",2,63,0
"146",2,64,0
"147",2,65,0
"148",2,66,0
"149",2,67,0
"150",2,68,0
"151",2,69,0
"152",2,70,0
"153",2,71,0
"154",2,72,0
"155",2,73,0
"156",2,74,0
"157",2,75,0
"158",2,76,0
"159",2,77,0
"160",2,78,0
"161",2,80,0
"162",2,82,0
"163",2,84,0
"164",2,89,0
"165",2,90,0
"166",2,94,0
"167",3,0,0
"168",3,1,0
"169",3,5,0
"170",3,6,0
"171",3,8,0
"172",3,10,0
"173",3,11,0
"174",3,12,0
"175",3,13,0
"176",3,14,0
"177",3,15,0
"178",3,16,0
"179",3,17,0
"180",3,18,0
"181",3,19,0
"182",3,20,0
"183",3,21,0
"184",3,22,0
"185",3,23,0
"186",3,24,0
"187",3,25,0
"188",3,26,0
"189",3,27,0
"190",3,28,0
"191",3,29,0
"192",3,30,9
"193",3,31,7
"194",3,32,13
"195",3,33,4
"196",3,34,6
"197",3,35,6
"198",3,36,8
"199",3,37,2
"200",3,38,14
